순위,영화명,개봉일,매출액,관객수,스크린수,대표국적,국적,배급사
58,범죄도시,43011 ,56318014149 ,6879841 ,1315 ,한국,한국,"플러스엠 엔터테인먼트,(주)키위미디어그룹"
59,타짜,38988 ,0 ,6847777 ,147 ,한국,한국,CJ ENM
60,"좋은 놈, 나쁜 놈, 이상한 놈",39646 ,43768628939 ,6686912 ,825 ,한국,한국,CJ ENM
61,늑대소년,41213 ,46593107500 ,6654837 ,706 ,한국,한국,(주)씨제이이엔엠
62,미녀는 괴로워,39065 ,0 ,6619498 ,93 ,한국,한국,(주)쇼박스
63,군함도,42942 ,50510565168 ,6592151 ,2027 ,한국,한국,(주)씨제이이엔엠
64,아저씨,40394 ,47870792359 ,6282774 ,478 ,한국,한국,CJ ENM
65,사도,42263 ,48842902501 ,6246849 ,1210 ,한국,한국,(주)쇼박스
66,전우치,40170 ,44605437017 ,6136928 ,606 ,한국,한국,CJ ENM
67,투사부일체,38736 ,0 ,6105431 ,93 ,한국,한국,CJ ENM
68,연평해전,42179 ,45563228330 ,6043784 ,1013 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
69,쉬리,36204 ,0 ,5820000 ,0 ,한국,한국,
70,청년경찰,42956 ,44381150516 ,5653270 ,1102 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
71,가문의 위기(가문의 영광2),38602 ,0 ,5635266 ,101 ,한국,한국,(주)쇼박스
72,숨바꼭질,41500 ,39602987500 ,5604104 ,779 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
73,덕혜옹주,42585 ,44393828109 ,5599229 ,964 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
74,더 테러 라이브,41486 ,39866712881 ,5583596 ,743 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
75,감시자들,41458 ,39380162179 ,5508017 ,949 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
76,의형제,40213 ,40800867602 ,5507106 ,572 ,한국,한국,(주)쇼박스
77,검은 사제들,42313 ,42407832092 ,5442553 ,1088 ,한국,한국,(주)씨제이이엔엠
78,안시성,43362 ,46335334026 ,5440186 ,1540 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
79,더 킹,42753 ,43486078535 ,5316325 ,1310 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
80,완득이,40836 ,38530503500 ,5310510 ,500 ,한국,한국,(주)씨제이이엔엠
81,완벽한 타인,43404 ,44356752474 ,5294119 ,1313 ,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
82,살인의 추억,37736 ,,5255376 ,54 ,한국,한국,CJ ENM
83,타워,41268 ,37654858000 ,5181014 ,617 ,한국,한국,(주)씨제이이엔엠
84,말아톤,38379 ,0 ,5148022 ,73 ,한국,한국,(주)쇼박스
85,추격자,39492 ,33943278500 ,5071619 ,435 ,한국,한국,(주)쇼박스
86,독전,43242 ,43484892913 ,5063620 ,1357 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
87,공작,43320 ,42788691176 ,4974512 ,1317 ,한국,한국,(주)씨제이이엔엠
88,동갑내기 과외하기,37659 ,,4937573 ,54 ,한국,한국,CJ ENM
89,바람과 함께 사라지다,41129 ,34614661161 ,4909937 ,694 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
90,"님아, 그 강을 건너지 마오",41970 ,37355277679 ,4801527 ,206 ,한국,한국,"CGV아트하우스,(주)대명문화공장"
91,봉오동 전투,43684 ,40588648538 ,4787538 ,1476 ,한국,한국,(주)쇼박스
92,조선명탐정 : 각시투구꽃의 비밀,40570 ,35841769500 ,4786259 ,611 ,한국,한국,(주)쇼박스
93,군도: 민란의 시대,41843 ,36987755999 ,4774895 ,1394 ,한국,한국,(주)쇼박스
94,남산의 부장들,43852 ,41223596650 ,4750104 ,1659 ,한국,한국,(주)쇼박스
95,범죄와의 전쟁: 나쁜놈들 전성시대,40941 ,36538823500 ,4719872 ,699 ,한국,한국,(주)쇼박스
96,신세계,41326 ,34881330905 ,4682492 ,671 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
97,도가니,40808 ,35566854800 ,4662822 ,644 ,한국,한국,(주)씨제이이엔엠
98,내 아내의 모든 것,41046 ,34222160500 ,4598583 ,563 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
99,판도라,42711 ,36064461064 ,4583645 ,1166 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
100,나쁜 녀석들: 더 무비,43719 ,39560195124 ,4573902 ,1511 ,한국,한국,(주)씨제이이엔엠
101,연가시,41095 ,32175400664 ,4515833 ,759 ,한국,한국,(주)씨제이이엔엠
102,강철비,43083 ,35489576466 ,4452740 ,1426 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
103,다만 악에서 구하소서,44048 ,38602260990 ,4357803 ,1998 ,한국,한국,(주)씨제이이엔엠
104,헌트,44783 ,44600858153 ,4352390 ,1625 ,한국,한국,플러스엠 엔터테인먼트
105,강철중: 공공의 적 1-1,39618 ,28465757767 ,4300670 ,659 ,한국,한국,"CJ ENM,(주)시네마서비스"
106,아가씨,42522 ,35211229991 ,4287839 ,1171 ,한국,한국,(주)씨제이이엔엠
107,용의자,41632 ,30037161000 ,4131248 ,807 ,한국,한국,(주)쇼박스
108,건축학개론,40990 ,30219800500 ,4110645 ,593 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
109,태풍,38700 ,0 ,4094395 ,115 ,한국,한국,CJ ENM
110,7급 공무원,39925 ,26701311856 ,4088799 ,475 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
111,색즉시공,37601 ,0 ,4082797 ,41 ,한국,한국,(주)쇼박스
112,댄싱퀸,40926 ,30129259500 ,4057546 ,534 ,한국,한국,(주)씨제이이엔엠
113,우리 생애 최고의 순간,39457 ,26151780425 ,4044582 ,418 ,한국,한국,(주)싸이더스
114,꾼,43061 ,31313568795 ,4018341 ,1314 ,한국,한국,(주)쇼박스
115,타짜-신의 손,41885 ,32373120927 ,4015361 ,890 ,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
116,공공의 적 2,38379 ,0 ,3911356 ,95 ,한국,한국,(주)시네마서비스
117,박수건달,41283 ,28379548569 ,3897969 ,599 ,한국,한국,(주)쇼박스
118,한반도,38911 ,0 ,3880308 ,126 ,한국,한국,CJ ENM
119,조선명탐정 : 사라진 놉의 딸,42046 ,30456879428 ,3872015 ,811 ,한국,한국,(주)쇼박스
120,역린,41759 ,29893297890 ,3849433 ,1054 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
121,남한산성,43011 ,31225083792 ,3849087 ,1229 ,한국,한국,(주)씨제이이엔엠
122,반도,44027 ,33072531280 ,3812250 ,2575 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
123,암수살인,43376 ,32995138548 ,3789321 ,1177 ,한국,한국,(주)쇼박스
124,쌍화점,39812 ,25616489949 ,3779553 ,499 ,한국,한국,(주)쇼박스
125,국가부도의 날,43432 ,30891765837 ,3754983 ,1180 ,한국,한국,(주)씨제이이엔엠
126,신기전,39695 ,24314570667 ,3726134 ,585 ,한국,한국,CJ ENM
127,82년생 김지영,43761 ,30305744310 ,3679019 ,1486 ,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
128,친절한 금자씨,38562 ,0 ,3650000 ,127 ,한국,한국,CJ ENM
129,모가디슈,44405 ,34558297730 ,3613984 ,1688 ,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
130,귀향,42424 ,27248705990 ,3586929 ,876 ,한국,한국,(주)와우픽쳐스
131,신의 한 수,41823 ,28810921456 ,3566336 ,794 ,한국,한국,(주)쇼박스
132,스캔들-조선남녀상열지사,37896 ,,3522747 ,76 ,한국,한국,CJ ENM
133,가문의 부활 - 가문의 영광3,38981 ,0 ,3464516 ,114 ,한국,한국,(주)쇼박스
134,부러진 화살,40926 ,25936754000 ,3459780 ,453 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
135,끝까지 간다,41788 ,27007303900 ,3450305 ,645 ,한국,한국,(주)쇼박스
136,스파이,41522 ,24509269305 ,3435801 ,785 ,한국,"한국,태국",(주)씨제이이엔엠
137,그것만이 내 세상,43117 ,27444525382 ,3418043 ,862 ,한국,한국,(주)씨제이이엔엠
138,이끼,40373 ,25856306126 ,3408144 ,736 ,한국,한국,CJ ENM
139,돈,43544 ,28869614062 ,3389035 ,1431 ,한국,한국,(주)쇼박스
140,포화속으로,40345 ,24217600897 ,3385706 ,736 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
141,악인전,43600 ,29130540150 ,3364360 ,1307 ,한국,한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹"
142,시동,43817 ,28098934360 ,3317038 ,1515 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
143,아이 캔 스피크,42999 ,25532214986 ,3280243 ,1140 ,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
144,올드보이,37946 ,0 ,3269000 ,45 ,한국,한국,"쇼이스트(주),(주)씨제이이엔엠"
145,올빼미,44888 ,31768660550 ,3222738 ,1541 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
146,마녀,43278 ,27242029463 ,3189091 ,1117 ,한국,한국,워너브러더스 코리아(주)
147,탐정: 리턴즈,43264 ,26909459678 ,3152872 ,1041 ,한국,한국,(주)씨제이이엔엠
148,어린 신부,38079 ,0 ,3149500 ,50 ,한국,한국,코리아픽쳐스(주)
149,오! 브라더스,37868 ,0 ,3148748 ,51 ,한국,한국,(주)쇼박스
150,"장화, 홍련",37785 ,0 ,3146217 ,52 ,한국,한국,영화사청어람(주)
151,그놈 목소리,39114 ,0 ,3143247 ,110 ,한국,한국,CJ ENM
152,우리들의 행복한 시간,38974 ,0 ,3132320 ,118 ,한국,한국,(주)프라임엔터테인먼트
153,퀵,40744 ,22960890000 ,3125069 ,512 ,한국,한국,(주)씨제이이엔엠
154,감기,41500 ,21784202000 ,3119023 ,806 ,한국,한국,아이러브시네마
155,말죽거리 잔혹사,38002 ,0 ,3115767 ,67 ,한국,한국,CJ ENM
156,광복절 특사,37580 ,0 ,3101900 ,71 ,한국,한국,(주)시네마서비스
157,마파도,38421 ,0 ,3090467 ,58 ,한국,한국,CJ ENM
158,하모니,40206 ,21992266198 ,3068544 ,405 ,한국,한국,CJ ENM
159,거북이 달린다,39975 ,20857347292 ,3059812 ,379 ,한국,한국,(주)쇼박스
160,너는 내 운명,38618 ,0 ,3051134 ,92 ,한국,한국,CJ ENM
161,스물,42088 ,23558988686 ,3044134 ,926 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
162,식객,39387 ,0 ,3038868 ,88 ,한국,한국,CJ ENM
163,방자전,40331 ,22853629794 ,3035116 ,512 ,한국,한국,CJ ENM
164,마더,39961 ,20195373838 ,3013523 ,648 ,한국,한국,CJ ENM
165,오싹한 연애,40878 ,22010977000 ,3009356 ,469 ,한국,한국,(주)씨제이이엔엠
166,형,42697 ,23129111893 ,2982022 ,993 ,한국,한국,(주)씨제이이엔엠
167,친구 2,41592 ,21804687513 ,2971475 ,968 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
168,26년,41242 ,21241327145 ,2963449 ,604 ,한국,한국,"(주)인벤트스톤,영화사청어람(주)"
169,워낭소리,39828 ,19259975032 ,2962897 ,20 ,한국,한국,㈜인디스토리
170,고지전,40744 ,21968557600 ,2945137 ,585 ,한국,한국,(주)쇼박스
171,프리즌,42817 ,23790276987 ,2931897 ,1047 ,한국,한국,(주)쇼박스
172,가장 보통의 연애,43740 ,24885803430 ,2924563 ,1073 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
173,헬로우 고스트,40534 ,21154651779 ,2897477 ,472 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
174,귀신이 산다,38247 ,0 ,2890000 ,70 ,한국,한국,(주)시네마서비스
175,말모이,43474 ,23987145520 ,2866020 ,1203 ,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
176,극비수사,42173 ,22389535897 ,2860786 ,894 ,한국,한국,(주)쇼박스
177,표적,41759 ,22256359300 ,2841788 ,665 ,한국,한국,(주)씨제이이엔엠
178,너의 결혼식,43334 ,23676244369 ,2820969 ,962 ,한국,한국,플러스엠 엔터테인먼트
179,마녀(魔女) Part2. The Other One,44727 ,28922488670 ,2806501 ,1796 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
180,황산벌,37911 ,,2771236 ,71 ,한국,한국,(주)씨네월드
181,부당거래,40479 ,21326977937 ,2766436 ,502 ,한국,한국,CJ ENM
182,1번가의 기적,39127 ,0 ,2750457 ,80 ,한국,한국,CJ ENM
183,시라노; 연애조작단,40437 ,20171151599 ,2731828 ,402 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
184,내가 살인범이다,41221 ,20392346000 ,2729808 ,547 ,한국,한국,(주)쇼박스
185,소원,41549 ,18529792100 ,2711071 ,641 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
186,친구,36981 ,0 ,2678846 ,0 ,한국,한국,
186,친구,36981 ,0 ,2678846 ,0 ,한국,한국,
187,곤지암,43187 ,21442114144 ,2675559 ,1124 ,한국,한국,(주)쇼박스
188,살인자의 기억법,42984 ,21375287492 ,2658589 ,1064 ,한국,한국,(주)쇼박스
189,후궁 : 제왕의 첩,41066 ,19330302500 ,2636320 ,624 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
190,탐정 : 더 비기닝,42271 ,20463956973 ,2625686 ,764 ,한국,한국,(주)씨제이이엔엠
191,지금 만나러 갑니다,43173 ,20800916128 ,2602273 ,1163 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
192,위험한 상견례,40633 ,19174920500 ,2595625 ,524 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
193,아수라,42641 ,20576226662 ,2594028 ,1278 ,한국,한국,(주)씨제이이엔엠
194,보안관,42858 ,20844405409 ,2588617 ,1091 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
195,굿모닝 프레지던트,40108 ,18770889320 ,2583294 ,586 ,한국,한국,CJ ENM
196,음란서생,38771 ,0 ,2576022 ,84 ,한국,한국,CJ ENM
197,내 머리 속의 지우개,38296 ,0 ,2565078 ,68 ,한국,한국,CJ ENM
198,기술자들,41997 ,19894297783 ,2564340 ,641 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
199,증인,43509 ,20477262331 ,2534075 ,1047 ,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
200,내 생애 가장 아름다운 일주일,38632 ,0 ,2533103 ,105 ,한국,한국,CJ ENM
201,목격자,43327 ,21733771597 ,2524333 ,1021 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
202,조작된 도시,42775 ,20138295587 ,2514943 ,1019 ,한국,한국,(주)씨제이이엔엠
203,공동경비구역 JSA,36777 ,0 ,2513540 ,0 ,한국,한국,CJ ENM
204,블랙머니,43782 ,20866634010 ,2479664 ,1117 ,한국,한국,(주)에이스메이커무비웍스
205,우리 형,38268 ,0 ,2479585 ,77 ,한국,한국,CJ ENM
206,반창꼬,41262 ,17911274787 ,2475797 ,466 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
207,박수칠 때 떠나라,38575 ,0 ,2475291 ,78 ,한국,한국,(주)시네마서비스
208,선생 김봉두,37708 ,0 ,2472135 ,60 ,한국,한국,(주)시네마서비스
209,조선명탐정: 흡혈괴마의 비밀,43139 ,19822724764 ,2444123 ,1249 ,한국,한국,(주)쇼박스
210,화차,40976 ,18459203000 ,2436400 ,548 ,한국,한국,필라멘트픽쳐스
211,이웃사람,41143 ,18087442369 ,2434099 ,600 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
212,광식이 동생 광태,38679 ,0 ,2430200 ,83 ,한국,한국,(주)엠케이픽처스
213,재심,42781 ,19264792637 ,2421011 ,935 ,한국,한국,"오퍼스픽쳐스(유),CGV아트하우스"
214,히트맨,43852 ,20614278000 ,2406232 ,1122 ,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
215,사바하,43516 ,20007508194 ,2398519 ,1174 ,한국,한국,(주)씨제이이엔엠
216,화이: 괴물을 삼킨 아이,41556 ,17695516795 ,2394466 ,817 ,한국,한국,(주)쇼박스
217,의뢰인,40815 ,17797042500 ,2393086 ,522 ,한국,한국,(주)쇼박스
218,가문의 영광4 - 가문의 수난,40793 ,17792219500 ,2368267 ,537 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
219,블라인드,40765 ,18387176500 ,2367272 ,404 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
220,박열,42914 ,18093543795 ,2359174 ,1176 ,한국,한국,플러스엠 엔터테인먼트
221,맨발의 기봉이,38833 ,0 ,2347311 ,71 ,한국,한국,(주)쇼박스
222,바람의 파이터,38211 ,0 ,2346446 ,41 ,한국,한국,영화사청어람(주)
223,작업의 정석,38707 ,0 ,2342232 ,75 ,한국,한국,(주)쇼박스
224,첫사랑 사수 궐기 대회,37799 ,0 ,2339410 ,70 ,한국,한국,(주)시네마서비스
225,미인도,39765 ,15531621371 ,2325715 ,463 ,한국,한국,CJ ENM
226,라스트 갓파더,40541 ,16832542997 ,2316099 ,547 ,한국,"한국,미국",CJ ENM
227,주유소 습격사건,36435 ,0 ,2310000 ,0 ,한국,한국,(주)시네마서비스
228,하녀,40311 ,17310669976 ,2304487 ,577 ,한국,한국,(주)싸이더스
229,"달콤, 살벌한 연인",38813 ,0 ,2286745 ,60 ,한국,한국,CJ ENM
230,혈의 누,38476 ,0 ,2274995 ,98 ,한국,한국,(주)시네마서비스
231,극락도 살인사건,39184 ,0 ,2259511 ,85 ,한국,한국,"(주)엠케이픽처스 ,(주)두엔터테인먼트"
232,위대한 유산,37918 ,0 ,2251491 ,57 ,한국,한국,CJ ENM
233,7광구,40759 ,19391653500 ,2242510 ,812 ,한국,한국,(주)씨제이이엔엠
234,박쥐,39933 ,15051788827 ,2237271 ,462 ,한국,"한국,미국,호주",CJ ENM
235,타짜: 원 아이드 잭,43719 ,19687029214 ,2229239 ,1429 ,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
236,싱글즈,37813 ,,2203042 ,58 ,한국,한국,영화사청어람(주)
237,마당을 나온 암탉,40752 ,14669905500 ,2201722 ,345 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
238,내 여자친구를 소개합니다,38141 ,0 ,2199359 ,75 ,한국,한국,"CJ ENM,아이러브시네마"
239,댄서의 순정,38470 ,0 ,2197555 ,68 ,한국,한국,쇼이스트(주)
240,싱크홀,44419 ,21395652690 ,2195683 ,1603 ,한국,한국,(주)쇼박스
241,악의 연대기,42138 ,17361815332 ,2192525 ,776 ,한국,한국,(주)씨제이이엔엠
242,강남 1970,42025 ,17717971499 ,2192172 ,841 ,한국,한국,(주)쇼박스
243,바르게 살자,39373 ,0 ,2190250 ,79 ,한국,한국,CJ ENM
244,늑대의 유혹,38190 ,0 ,2189453 ,40 ,한국,한국,(주)쇼박스
245,황해,40534 ,16765970362 ,2167426 ,618 ,한국,"한국,미국,중국","(주)쇼박스,이십세기폭스코리아(주)"
246,초능력자,40492 ,15618440958 ,2164805 ,622 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
247,내 사랑 내 곁에,40080 ,15764312409 ,2160265 ,474 ,한국,한국,CJ ENM
248,신의 한 수: 귀수편,43776 ,18463776050 ,2157437 ,1246 ,한국,한국,(주)씨제이이엔엠
249,마이 웨이,40898 ,15994803000 ,2142622 ,645 ,한국,"한국,일본,중국","에스케이플래닛(주),(주)씨제이이엔엠"
250,나의 사랑 나의 신부,41920 ,16636404305 ,2141155 ,629 ,한국,한국,씨네그루(주)다우기술
251,범죄의 재구성,38092 ,0 ,2129358 ,50 ,한국,한국,(주)쇼박스
252,사랑,39344 ,0 ,2123815 ,78 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
253,세븐 데이즈,39400 ,38146000 ,2120741 ,297 ,한국,한국,(주)프라임엔터테인먼트
254,굿바이 싱글,42550 ,16912706195 ,2108273 ,841 ,한국,한국,(주)쇼박스
255,사생결단,38834 ,0 ,2104716 ,78 ,한국,한국,(주)씨제이이엔엠
256,몽타주,41410 ,15002458500 ,2095592 ,540 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
257,색즉시공 시즌2,39428 ,511288500 ,2088134 ,89 ,한국,한국,CJ ENM
258,명당,43362 ,17900775524 ,2087474 ,1117 ,한국,한국,플러스엠 엔터테인먼트
259,내부자들: 디 오리지널,42369 ,16973885275 ,2083999 ,838 ,한국,한국,(주)쇼박스
260,쩨쩨한 로맨스,40513 ,15901620661 ,2080574 ,463 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
261,청춘만화,38799 ,0 ,2066354 ,86 ,한국,한국,(주)쇼박스
262,눈에는 눈 이에는 이,39660 ,13414023500 ,2058764 ,445 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
263,비상선언,44776 ,20926361328 ,2058762 ,1734 ,한국,한국,(주)쇼박스
264,뷰티 인사이드,42236 ,16155795131 ,2054297 ,648 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
265,봉이 김선달,42557 ,16227052642 ,2051277 ,942 ,한국,한국,(주)씨제이이엔엠
266,아라한 장풍대작전,38107 ,0 ,2050000 ,87 ,한국,한국,(주)시네마서비스
267,비열한 거리,38883 ,0 ,2047808 ,82 ,한국,한국,CJ ENM
